code_number,code_label
c001,2つのカラム間でそれぞれ1つのフィールド値同士を比較
c002,2つのカラム間でそれぞれ複数のフィールド値同士を比較
c003,2つ（前後）のレコード間でそれぞれ複数のフィールド値同士を比較
c004,2つ（前後）のレコード間でそれぞれ1つのフィールド値同士を比較
c005,複数のカラム間でそれぞれ複数のフィールド値同士を比較
c006,1つのフィールド値とカラムの全体のフィールド値を比較
c007,特定のカラム名（複数のカラム）を見てそのフィールド値の傾向に言及
c008,複数のカラムにまたがる構造（レイアウト）を解釈
c009,同じレコードの複数のカラム間の値の関係に疑問/仮説を提示
c010,特定のカラムのフィールド値の大きさに常識的見地から言及（勝手に推測）
c011,全てのカラム名（地名）と現状との関連付けへの疑問を提示
c012,特定のカラムのフィールド値に対して推察される状況描写に言及
c013,文字の解釈（特定のカラムの値の単位）
c014,特定のカラム名（表頭）に注目
c015,表外の注釈（データの出典/記号の使い方）を解釈し注意喚起
c016,表体の特定範囲（値がないところ）に注目
c017,特定のレコードの値（年）の欠損に言及
c018,表中にはない属性とその値に対する要望や理由の推察
c019,特定のカラム名の解釈
c020,特定のカラム名（複数のカラム）を見てたまたま見つけたであろうフィールド値の変化に言及
c021,特定のカラムのフィールド値の変化/傾向に対して推察される状況描写（他のデータとか）に言及
c022,不明、謎、わからない
c023,カラムに無関係に値の増えてるところ/減ってるところに注目
c024,表中の注釈に疑問を提示
c025,複数のカラム間でそれぞれ複数のフィールド値の変化の傾向（正負の相関？）の関連性に注目/疑問を提示
c026,表題に注目（意味不明教えて）
c027,表側の項目名に注目（字が読めない教えて）
c028,表側の項目名に注目（字が読めるけど意味不明教えて）
c029,単位の要素間の関係（意味不明教えて）
c030,単位から推察される状況描写に言及
c031,特定のレコードのフィールド値について他のレコードの値と比較
c032,特定のレコード名（複数のレコード）を見てそのフィールド値の傾向に言及
c033,特定のカラムのフィールド値に対して当時の状況との関連付けへの疑問/推察
c034,表側の項目名に注目（規則性からの逸脱に言及）
c035,表外の注釈を解釈し疑問を提示
c036,複数のカラムにまたがる構造（レイアウト）があるレコードから変化していることに着目しその背景を推察
c037,特定のカラムのフィールド値の大きさに対して現状の常識的価値解釈から言及
c038,複数のカラム名間の定義とその関係がわからない
c039,表中に使用されている記号({})の解釈/誤使用に対する指摘
c040,同じトピックの連続したレコードであるにもかかわらずある時期からのカラム名の変化/追加に着目
c041,表題の変化に注目
c042,特定のカラム名（表頭）に注目（意味不明教えて）
c043,複数のカラム名間の構造の理解/推察
c044,表側の項目名/順序に対して当時の状況を推察
c045,表側の項目名の順序に着目
c046,特定のレコードのフィールド値の大きさに対して現状の常識的価値解釈から言及
c047,特定のレコードのフィールド値を見てその表側の項目名に疑問/仮説を提示
c048,特定のレコードのフィールド値に注目（理由教えて）
c049,特定のレコードの総計を見てあるカラムの特徴に言及
c050,表全体のフィールド値に対して当時の状況との関連付けへの疑問を提示
c051,特定のレコードの複数のフィールド値を見比べてあるカラムの特徴に言及
c052,表全体のフィールド値の大きさに対して現状の常識的価値解釈から言及
c053,特定のレコードのフィールド値の大きさに常識的見地から言及
c054,特定のレコードのフィールド値の大きさに対して推察される状況に言及
c055,特定のレコードのフィールド値を比較してカラムの特徴を描写/推察
c056,たまたま見つけたであろう複数のフィールド値の特徴（値がない）からカラムの特徴を描写
c057,特定のレコードのフィールド値の傾向を見て表側の項目名に注目（字が読めるけど意味不明教えて）
c058,特定のカラムのフィールド値の大きさに常識的見地から言及（統計表作成者の態度に言及）
c059,表体の特定範囲（値がないところ）に注目し、途中からデータが始まっていることの状況を解釈し、その推察に基づいて値の大きさに言及
c060,特定のカラムのフィールド値に対してカラム名の意味に基づいて疑問を提示
c061,特定のカラム名（表頭）に注目（そのデータの必要性に疑義？）
c062,表中にはない視覚的表現（罫線の有無）に対する要望
c063,表中に使用されている記号の使われ方の一貫性の欠如に疑義
c064,特定のレコードの複数のカラム間の値の大きさを見比べて疑義を提示（値の信憑性に）
c065,複数のレコードの値を比較して表側の項目名の特徴を推察
c066,表全体に対して背景にあるであろう統計表作成者の意図や狙いに疑問
c067,特定のレコードを見てそのフィールド値の傾向に言及
c068,特定のカラムの2つのフィールド値の比率/差に言及
c069,特定のカラムの複数のフィールド値の特徴（値がない）から当時の状況を描写
c070,表外の注釈に同一記号が別の意味で使われている記載がありそこから統計表作成者が同一人物かどうかに疑問
c071,特定のカラムのフィールド値の存在（希少）に着目し当時の価値基準から言及
c072,特定のカラムのフィールドに記載されている値の種類（記号に囲まれていて脚注にその説明があるものの）に疑義
c073,特定のカラムのフィールドに記載されている値の種類から当時の状況を踏まえて表の構成について推察
c074,特定のカラムのフィールドに記載されている値の種類から示唆される表の構成について発行時の状況を推察
c075,同じトピックの表中にはない属性とその値の傾向について推察
c076,特定のカラム名に着目しそのフィールド値に該当する具体的名称を思い出して列挙
c077,複数のカラム間でそれぞれ複数のフィールド値の間の整合性に注目/疑問を提示（総数合わない）
c078,表中に使用されている記号({})の解釈/誤使用の理由や背景の推察
c079,特定のカラムのフィールド値の変化に社会的常識から着目
c080,複数のカラム間でそれぞれ複数のフィールド値同士を比較し常識的見地から疑問を提示
c081,複数のカラム間でそれぞれ複数のフィールド値同士を比較し類似のトピックの他の表を参照し疑問を提示
c082,特定のカラム名に着目し解釈して該当すると推察した具体的名称を列挙
